1,Qatar,0,2,Ecuador,1
2,England,6,2,Iran,1
3,Senegal,0,2,Netherlands,1
4,USA,1,1,Wales,1
5,Argentina,1,2,Saudi Arabia,1
6,Denmark,0,0,Tunisia,1
7,Mexico,0,0,Poland,1
8,France,4,1,Australia,1
9,Morocco,0,0,Croatia,1
10,Germany,1,2,Japan,1
11,Spain,7,0,Costa Rica,1
12,Belgium,1,0,Canada,1
13,Switzerland,1,0,Cameroon,2
14,Uruguay,0,0,Korea Republic,2
15,Portugal,3,2,Ghana,2
16,Brazil,2,0,Serbia,2
17,Wales,0,2,Iran,2
18,Qatar,1,3,Senegal,2
19,Netherlands,1,1,Ecuador,2
20,England,0,0,USA,2
21,Tunisia,0,1,Australia,2
22,Poland,2,0,Saudi Arabia,2
23,France,2,1,Denmark,2
24,Argentina,2,0,Mexico,2
25,Japan,0,1,Costa Rica,3
26,Belgium,0,2,Morocco,3
27,Croatia,4,1,Canada,3
28,Spain,1,1,Germany,3
29,Cameroon,3,3,Serbia,3
30,Korea Republic,2,3,Ghana,3
31,Brazil,1,0,Switzerland,3
32,Portugal,2,0,Uruguay,3
33,Ecuador,1,2,Senegal,3
34,Netherlands,2,0,Qatar,3
35,Wales,0,3,England,3
36,Iran,0,1,USA,3
37,Australia,1,0,Denmark,4
38,Tunisia,1,0,France,4
39,Poland,0,2,Argentina,4
40,Saudi Arabia,1,2,Mexico,4
41,Croatia,0,0,Belgium,4
42,Canada,1,2,Morocco,4
43,Japan,2,1,Spain,4
44,Costa Rica,2,4,Germany,4
45,Ghana,0,2,Uruguay,4
46,Korea Republic,2,1,Portugal,4
47,Serbia,2,3,Switzerland,4
48,Cameroon,1,0,Brazil,4
